"Year","State","Variable","Sex","Occupation","Estimate"
"2010","Arizona","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",4569
"2010","Arizona","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",1538
"2010","Arizona","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1356
"2010","Arkansas","B24020_019","Male","Computer, engineering, and science occupations:",23553
"2010","Arkansas","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",11427
"2010","Arkansas","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",10751
"2010","Arkansas","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",1668
"2010","Arkansas","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",3465
"2010","Arkansas","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",2091
"2010","Arkansas","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",3527
"2010","Arkansas","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",676
"2010","Arkansas","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",9219
"2010","Arkansas","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",661
"2010","Arkansas","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",6021
"2010","Arkansas","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",2537
"2010","Arkansas","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",2907
"2010","Arkansas","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",1482
"2010","Arkansas","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",188
"2010","Arkansas","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",1237
"2010","California","B24020_019","Male","Computer, engineering, and science occupations:",606915
"2010","California","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",285748
"2010","California","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",277648
"2010","California","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",34219
"2010","California","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",158934
"2010","California","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",30892
"2010","California","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",53603
"2010","California","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",8100
"2010","California","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",251616
"2010","California","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",15613
"2010","California","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",193829
"2010","California","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",42174
"2010","California","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",69551
"2010","California","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",43512
"2010","California","B24020_033","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers",12120
"2010","California","B24020_034","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians",13919
"2010","Colorado","B24020_019","Male","Computer, engineering, and science occupations:",109000
"2010","Colorado","B24020_020","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:",54510
"2010","Colorado","B24020_021","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:",52788
"2010","Colorado","B24020_022","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts",6813
"2010","Colorado","B24020_023","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers",25127
"2010","Colorado","B24020_024","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects",7096
"2010","Colorado","B24020_025","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists",13752
"2010","Colorado","B24020_026","Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations",1722
"2010","Colorado","B24020_027","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:",42345
"2010","Colorado","B24020_028","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers",3323
"2010","Colorado","B24020_029","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers",31935
"2010","Colorado","B24020_030","Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians",7087
"2010","Colorado","B24020_031","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:",12145
"2010","Colorado","B24020_032","Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists",8743
