"Year","GEOID","NAME","variable","estimate","moe","sex","label"
"2010","04","Arizona","B24020_027",45700,3023,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","04","Arizona","B24020_028",2099,703,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","04","Arizona","B24020_029",31687,2506,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","04","Arizona","B24020_030",11914,1993,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","04","Arizona","B24020_031",7463,1719,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","04","Arizona","B24020_032",4569,1377,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","04","Arizona","B24020_033",1538,574,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","04","Arizona","B24020_034",1356,875,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","05","Arkansas","B24020_019",23553,2519,"Male","Computer, engineering, and science occupations:"
"2010","05","Arkansas","B24020_020",11427,1944,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","05","Arkansas","B24020_021",10751,1884,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","05","Arkansas","B24020_022",1668,617,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","05","Arkansas","B24020_023",3465,1133,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","05","Arkansas","B24020_024",2091,774,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","05","Arkansas","B24020_025",3527,1305,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","05","Arkansas","B24020_026",676,651,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","05","Arkansas","B24020_027",9219,1477,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","05","Arkansas","B24020_028",661,346,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","05","Arkansas","B24020_029",6021,1223,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","05","Arkansas","B24020_030",2537,813,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","05","Arkansas","B24020_031",2907,904,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","05","Arkansas","B24020_032",1482,578,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","05","Arkansas","B24020_033",188,190,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","05","Arkansas","B24020_034",1237,635,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","06","California","B24020_019",606915,13040,"Male","Computer, engineering, and science occupations:"
"2010","06","California","B24020_020",285748,9571,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","06","California","B24020_021",277648,9515,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","06","California","B24020_022",34219,3177,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","06","California","B24020_023",158934,6920,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","06","California","B24020_024",30892,2741,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","06","California","B24020_025",53603,3923,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","06","California","B24020_026",8100,1494,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","06","California","B24020_027",251616,7778,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","06","California","B24020_028",15613,1854,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","06","California","B24020_029",193829,6796,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","06","California","B24020_030",42174,3362,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","06","California","B24020_031",69551,4234,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","06","California","B24020_032",43512,3470,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","06","California","B24020_033",12120,2076,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","06","California","B24020_034",13919,1702,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","08","Colorado","B24020_019",109000,4766,"Male","Computer, engineering, and science occupations:"
"2010","08","Colorado","B24020_020",54510,3876,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","08","Colorado","B24020_021",52788,3796,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","08","Colorado","B24020_022",6813,1444,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","08","Colorado","B24020_023",25127,2533,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","08","Colorado","B24020_024",7096,1101,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","08","Colorado","B24020_025",13752,2209,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","08","Colorado","B24020_026",1722,691,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","08","Colorado","B24020_027",42345,3336,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","08","Colorado","B24020_028",3323,709,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","08","Colorado","B24020_029",31935,2762,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","08","Colorado","B24020_030",7087,1192,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","08","Colorado","B24020_031",12145,1823,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","08","Colorado","B24020_032",8743,1399,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","08","Colorado","B24020_033",1754,756,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","08","Colorado","B24020_034",1648,703,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","09","Connecticut","B24020_019",63600,3828,"Male","Computer, engineering, and science occupations:"
"2010","09","Connecticut","B24020_020",30504,2644,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","09","Connecticut","B24020_021",27745,2530,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","09","Connecticut","B24020_022",3529,886,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","09","Connecticut","B24020_023",12837,1901,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","09","Connecticut","B24020_024",3337,874,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","09","Connecticut","B24020_025",8042,1291,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","09","Connecticut","B24020_026",2759,759,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","09","Connecticut","B24020_027",26289,2416,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","09","Connecticut","B24020_028",2028,673,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","09","Connecticut","B24020_029",19346,2040,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","09","Connecticut","B24020_030",4915,974,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","09","Connecticut","B24020_031",6807,1487,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","09","Connecticut","B24020_032",3694,945,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","09","Connecticut","B24020_033",1703,639,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","09","Connecticut","B24020_034",1410,555,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","10","Delaware","B24020_019",14484,1708,"Male","Computer, engineering, and science occupations:"
"2010","10","Delaware","B24020_020",6403,1416,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","10","Delaware","B24020_021",6155,1350,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","10","Delaware","B24020_022",1280,590,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","10","Delaware","B24020_023",2340,850,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","10","Delaware","B24020_024",943,497,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","10","Delaware","B24020_025",1592,658,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","10","Delaware","B24020_026",248,209,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","10","Delaware","B24020_027",4991,836,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","10","Delaware","B24020_028",251,172,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","10","Delaware","B24020_029",2933,698,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","10","Delaware","B24020_030",1807,644,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","10","Delaware","B24020_031",3090,850,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","10","Delaware","B24020_032",1605,586,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","10","Delaware","B24020_033",109,111,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","10","Delaware","B24020_034",1376,571,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","11","District of Columbia","B24020_019",14316,2007,"Male","Computer, engineering, and science occupations:"
"2010","11","District of Columbia","B24020_020",7285,1453,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","11","District of Columbia","B24020_021",5511,1300,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","11","District of Columbia","B24020_022",1555,842,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","11","District of Columbia","B24020_023",2036,760,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","11","District of Columbia","B24020_024",525,317,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","11","District of Columbia","B24020_025",1395,619,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","11","District of Columbia","B24020_026",1774,663,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","11","District of Columbia","B24020_027",2214,773,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
"2010","11","District of Columbia","B24020_028",891,483,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Architects, surveyors, and cartographers"
"2010","11","District of Columbia","B24020_029",1252,620,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Engineers"
"2010","11","District of Columbia","B24020_030",71,115,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:!!Drafters, engineering, and mapping technicians"
"2010","11","District of Columbia","B24020_031",4817,1279,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:"
"2010","11","District of Columbia","B24020_032",1637,579,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life and physical scientists"
"2010","11","District of Columbia","B24020_033",3103,1185,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Social scientists and related workers"
"2010","11","District of Columbia","B24020_034",77,130,"Male","Computer, engineering, and science occupations:!!Life, physical, and social science occupations:!!Life, physical, and social science technicians"
"2010","12","Florida","B24020_019",196116,6632,"Male","Computer, engineering, and science occupations:"
"2010","12","Florida","B24020_020",96776,5493,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:"
"2010","12","Florida","B24020_021",93410,5470,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:"
"2010","12","Florida","B24020_022",12745,1759,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Computer and information research scientists and analysts, and information security analysts"
"2010","12","Florida","B24020_023",42504,3384,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Software developers and programmers"
"2010","12","Florida","B24020_024",13382,2000,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Database and systems administrators and network architects"
"2010","12","Florida","B24020_025",24779,2886,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Computer occupations:!!Miscellaneous computer occupations, including computer support specialists"
"2010","12","Florida","B24020_026",3366,980,"Male","Computer, engineering, and science occupations:!!Computer and mathematical occupations:!!Mathematical science occupations"
"2010","12","Florida","B24020_027",80120,4481,"Male","Computer, engineering, and science occupations:!!Architecture and engineering occupations:"
